timestamp,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
0,0.5429384896656049,0.36840164876576154,0.40729705927124726,0.5517761894441957,0.8040376636658415,0.6773866490832994,0.5298514285839673,0.3798492405918097,0.44701852104333284,0.09407383646056156,0.49751624413614337,0.5004225957026849,0.5321452765773458,0.37575469680592954,0.30741360999631073,0.47842194868528054,0.510188049819094,0.48723379535819333,0.4740612048471786,0.5011684223079627,0.5771001675499292,0.3869535487904656,0.44013604362648984,0.2975029911514433,0.5417106321285888,0.6241977480443355,0.4797600486735032,0.05866198230541597,0.509370798320278,0.5871950040977749,0.4656663431359427,0.4724598029048632,0.5060225561533342
1,0.5375551530016622,0.5057283765623879,0.4506032319157569,0.47621499995287664,0.5204850139579875,0.10141154523128648,0.551047366344946,0.6907050716847039,0.5962826440713798,0.10077731141243618,0.5711733932797713,0.5154654669948702,0.5556581445551174,0.568876700525053,0.5572888108764387,0.48038666961836896,0.5910093849386282,0.4857675206384968,0.4725954051540815,0.5544173307930684,0.45006903123035613,0.6175201328374555,0.37270627061898054,0.4648437366249851,0.5520025796840623,0.7082825766244554,0.63125142413912,0.07933135656143975,0.4387221205245875,0.583999292582686,0.45393835074498523,0.6157240817841547,0.4482321766345332
2,0.5485137373681532,0.5786056226222378,0.36927514277922313,0.2921510585593037,0.5174860106772918,0.43476132512005705,0.567759359439485,0.38801560006932334,0.5904592660536991,0.10395909987393503,0.6019107364700105,0.4866051334758481,0.5743537268628955,0.27724345152145746,0.568252744313611,0.4905422579672205,0.4680081384532446,0.503794531775906,0.4731499064465341,0.5423176618039989,0.4618152065267509,0.5373865405343352,0.4261559446610512,0.37361102313114714,0.548342208017811,0.22052521151393467,0.6063223477076782,0.08129594036229015,0.4075612569177858,0.5480191931244396,0.4669773732660525,0.5721430565125392,0.5951487189716713
3,0.5317394567704847,0.45216997849850493,0.34516092563198697,0.4436750044958302,0.4706887191626272,0.5706731490615091,0.50085267096091,0.48734232058098925,0.5733971294685034,0.09176266750394335,0.48875003858518795,0.48793464163294953,0.5117854181422956,0.4754646486936398,0.45887645864327187,0.44131869156299786,0.5613709797475286,0.5044504775136609,0.4915525329417316,0.5681169330737532,0.5051025715144846,0.3601650669973324,0.5493551894514681,0.34958425542995286,0.5487357816849553,0.43965275777112023,0.5264163042056627,0.05998824951999682,0.43499205227274906,0.5221474612032373,0.4663565392617406,0.445070319360223,0.3980597045235734
4,0.4768693337276584,0.5480619362217993,0.11914965519558862,0.6005182264385684,0.5565251279014376,0.5679556757713513,0.5164332134125829,0.6032586457923266,0.33998748373687704,0.03565579008499764,0.45894786623311035,0.4471701314972041,0.5151163446275859,0.5425529822924355,0.4462594363379999,0.43834986987616276,0.5845980579957644,0.49076637359602415,0.4765147217252963,0.5542658789245891,0.5858793708826795,0.40760083164319383,0.47619801240413473,0.2290826066838001,0.4711820559054022,0.5090255328501003,0.553430862171215,0.0,0.49032868324861445,0.7094198129474094,0.4610830021775796,0.4996475591898655,0.5456131329592
5,0.4682224721097983,0.43120677461283563,0.3303780156159526,0.42321368305119655,0.24919286674041174,0.14792350434335333,0.5356975186957058,0.7133963995130301,0.5915352990650717,0.0,0.5559060969445895,0.7298494727358147,0.5535622501581869,0.29251703395423956,0.32640397225157525,0.4519621881685367,0.4645297505651378,0.4897111893235575,0.4741539726952859,0.5698050061071704,0.40043548745845214,0.45663965634750525,0.570180468620908,0.381693363717174,0.46695638901668557,0.34026647043876057,0.6651289559233193,0.02687484943400653,0.22303654804262307,0.555565029353525,0.4702628242242366,0.6664515412770093,0.5516081020987622
6,0.6593721400434218,0.1227924765217363,0.3446182491868335,0.5183493068510128,0.667041921469913,0.28038593054561645,0.5670291381700565,0.7589125076916012,0.2404574897401517,0.10065135842675899,0.5934651136502822,0.6540585617342467,0.5626580317192449,0.4679673008605141,0.3582971879841548,0.48048916750991566,0.4601477989699454,0.5032725526367976,0.4940920792617738,0.5423478082057009,0.6615970690968282,0.5227139776208318,0.2250451965125233,0.4964572934666105,0.6694843753364023,0.6892441572404868,0.5846810643794633,0.0833340229725934,0.4271068394361952,0.40814474634858744,0.48140501442064987,0.3026046938951481,0.43335179743933105
7,0.667323188388639,0.17193776740074895,0.40536445395634146,0.5050206541181161,0.47736911529305814,0.6083714828781055,0.5953044446136673,0.5446638597005844,0.49308329874691026,0.10044773894161096,0.5620520396660424,0.41207863065176387,0.5866565281274987,0.31263324980490337,0.4855154433113382,0.49334489661271164,0.43004243272023235,0.5124771437168754,0.5132598384646347,0.6317136602359099,0.6316982478543025,0.44090428942273974,0.029286127832245157,0.3748224132742326,0.6677372502458209,0.8144660543127387,0.6221296770463294,0.08020301750130443,0.5193373544694615,0.5517940351312252,0.48054222878901,0.43582878668685154,0.614409870640438
8,0.4861535977440259,0.34641605065644043,0.3431406573704656,0.47662882680609364,0.4936104633413656,0.3915886446354051,0.5802353259345523,0.3858208275485637,0.34862623752815125,0.08061192158183461,0.4542072751100079,0.6129861843545745,0.5811435629246304,0.22458198471214308,0.33115350848296465,0.4767559234013845,0.47265143565144196,0.5054720085028244,0.47122505548087545,0.6516959866101288,0.7212702339021178,0.22311147487630478,0.40857659692098913,0.3250608480924999,0.4749124141166007,0.5521264354543032,0.7271651343097769,0.06454282980489179,0.38864427379035216,0.27957912062546253,0.46588754089604145,0.2744823433764356,0.41370422862030276
9,0.477326200445336,0.419136479808099,0.25147914327117604,0.3254989555779577,0.6530727286844176,0.4694883594282899,0.5640558464385421,0.42555845212245913,0.615626359779526,0.056132589297754,0.35833313855136595,0.4025542190949958,0.5684075487290485,0.2909006102866134,0.4326056897882893,0.46794792964865906,0.8528342175426902,0.47341151014429883,0.4671274007205195,0.6594981791744452,0.6833249715018468,0.28094115102994976,0.5268450360347892,0.37592569481330074,0.4742151837475975,0.4811765243561794,0.5724141759773991,0.0789128534996757,0.4678647093504338,0.9422208372865466,0.45630443336981386,0.42940962805773353,0.4390059824242776
